strain	county	state
2960-H83336	Pierce	WA
2961-H83369	Pierce	WA
2964-H83388	Pierce	WA
2971-F93619	Snohomish	WA
2976-H83506	King	WA
2980-F94447	Snohomish	WA
2982-F94710	King	WA
2983-F94773	Snohomish	WA
2986-F94828	King	WA
2987-F10027	Spokane	WA
29895-X1085810	King	WA
29896-F1168406	King	WA
29897-S1102782	King	WA
29898-S1104696	King	WA
29899-F1175256	King	WA
29900-S1103623	King	WA
2997-F11282	King	WA
3001-F11796	Snohomish	WA
3002-F11797	Snohomish	WA
3007-F11889	Snohomish	WA
3008-F12014	King	WA
3009-F12040	King	WA
3012-F12088	King	WA
3024-F12754	King	WA
3026-F12761	King	WA
3030-F12782	Island	WA
3036-F12833	Ada	ID
3041-F12864	Island	WA
3046-F12867	Island	WA
3048-F12869	Island	WA
3052-S20126	Island	WA
3060-S20199	Island	WA
3078-S20916	King	WA
3094-S21455	Fairfield	CT
3100-S21488	Fairfield	CT
3108-S21559	Fairfield	CT
3109-S21557	Fairfield	CT
3114-S21604	Fairfield	CT
3118-S21632	Fairfield	CT
3119-S21636	Fairfield	CT
3120-S21647	Fairfield	CT
3123-S21660	Fairfield	CT
3125-S21668	Fairfield	CT
3127-S21696	Fairfield	CT
3129-S21729	Fairfield	CT
3140-S21832	Fairfield	CT
3141-S21834	King	WA
3146-H24927	no container ID	no container ID
3158-S22580	King	WA
3167-S22625	Snohomish	WA
3172-S22872	Ada	ID
3177-S22996	Snohomish	WA
3183-S22994	Ada	ID
3186-S23021	Snohomish	WA
3188-S23087	Clark	WA
3202-S23329	Unknown	Unknown
3247-S24801	Skagit	WA
3259-F94984	King	WA
3265-F94306	King	WA
3269-F94625	King	WA
3336-H83071	King	WA
3369-F92873	King	WA
3413-F10594	Adams	WA
3416-F10973	Ada	ID
3417-F11020	Fairfield	CT
3425-F11192	Fairfield	CT
3450-F11502	Fairfield	CT
3465-F11577	Fairfield	CT
3470-F11615	Fairfield	CT
3493-F12535	King	WA
3497-F12573	King	WA
3500-F12618	King	WA
3515-H80224	King	WA
3519-H74342	King	WA
3521-H80961	King	WA
3529-H75738	King	WA
3539-H79056	King	WA
3560-W61610	Snohomish	WA
3570-T83322	Pierce	WA
3584-W65945	Snohomish	WA
3592-T43455	King	WA
3607-W66823	Island	WA
3611-W66830	Pierce	WA
3613-T43253	King	WA
3616-T44345	King	WA
3630-W21797	Pierce	WA
3632-W66969	Pierce	WA
3634-H77398	Skagit	WA
3662-H79132	Skagit	WA
3685-M39131	Pierce	WA
3692-H81024	Fairfield	CT
3783-W23111	King	WA
3809-H81303	King	WA
3810-H81039	King	WA
3812-H83101	King	WA
3814-H83086	King	WA
3815-F92487	King	WA
3816-F92639	King	WA
3826-H81516	Snohomish	WA
3827-H82982	King	WA
3828-W67119	Pierce	WA
3829-W66981	Pierce	WA
3832-F92567	King	WA
3833-H81049	King	WA
3834-H81618	Snohomish	WA
3838-F90802	Pierce	WA
3839-H82123	Snohomish	WA
3841-H81075	King	WA
3843-F90577	King	WA
3844-W67147	Pierce	WA
3845-H81233	Fairfield	CT
3849-H80932	King	WA
3850-H81079	King	WA
3853-H82867	King	WA
3855-H81823	Snohomish	WA
3858-H80088	King	WA
3862-H79351	King	WA
3868-H81066	King	WA
3871-H82935	Pierce	WA
3874-H82519	Kootenai	ID
3878-H81490	King	WA
3880-H79276	King	WA
3881-W67112	Pierce	WA
3883-F93162	King	WA
3889-F11611	King	WA
3892-F10685	Ada	ID
3895-F10987	King	WA
3899-F92993	King	WA
3900-F10885	King	WA
3903-F12031	King	WA
3904-F11491	King	WA
3908-F11503	King	WA
3911-F11629	Snohomish	WA
3917-F11341	King	WA
3918-F11351	King	WA
3923-F12562	Skagit	WA
393-W41899	King	WA
3932-F12772	King	WA
3935-F12551	Skagit	WA
3939-S20142	King	WA
3940-S20127	Snohomish	WA
3941-S20735	King	WA
3942-S20171	King	WA
3946-S20307	King	WA
3949-S21045	King	WA
3950-S20785	Whatcom	WA
3951-S20999	King	WA
3954-S21189	King	WA
3959-S20645	Whatcom	WA
3963-M85263	King	WA
3964-T90437	King	WA
3969-T91259	Pierce	WA
3972-X80051	Unknown	Unknown
3973-X79867	King	WA
3975-X79533	King	WA
3979-X78434	King	WA
3982-X79282	King	WA
3983-X79316	King	WA
3985-X78255	King	WA
3988-X77869	King	WA
3989-S25004	Snohomish	WA
3990-X78961	Snohomish	WA
3992-X80301	King	WA
3994-S25053	King	WA
3996-S25050	King	WA
3997-X80287	King	WA
4004-S25020	Snohomish	WA
4009-X80738	Snohomish	WA
4011-X80842	King	WA
4014-S24988	Pierce	WA
4015-S24912	Pierce	WA
4019-M77846	King	WA
4021-X80959	Skagit	WA
4024-M77806	King	WA
4025-M77794	King	WA
4026-X80949	King	WA
4031-X80508	King	WA
4032-X77912	King	WA
4035-S24914	Pierce	WA
4038-M78339	Pierce	WA
4039-X80100	Spokane	WA
4041-M77795	King	WA
4046-S24968	Pierce	WA
4051-W72127	King	WA
4052-W75706	King	WA
4058-W74559	King	WA
4061-W75495	King	WA
4065-W74919	King	WA
4067-W74629	King	WA
4068-W74491	King	WA
4082-T88604	King	WA
4089-W70190	King	WA
4097-W70012	King	WA
4100-T91955	Ada	ID
4105-T93126	King	WA
4109-T92875	Skagit	WA
4111-T92847	Skagit	WA
4114-T92712	King	WA
4117-T92904	King	WA
4118-T92906	King	WA
4127-W68505	King	WA
4130-T92908	King	WA
4180-W70075	King	WA
4188-T87076	King	WA
4197-T92841	Snohomish	WA
4210-T90070	King	WA
4213-T90095	King	WA
4217-T91294	King	WA
4221-T91993	King	WA
4224-T92114	King	WA
4225-T92165	King	WA
4226-T92175	King	WA
4227-T92306	Snohomish	WA
4228-T92391	King	WA
4237-W72162	Fairfield	CT
4238-W72190	Fairfield	CT
4239-W72198	Ada	ID
4243-W72343	King	WA
4244-W72378	Fairfield	CT
4250-W72747	Ada	ID
4251-W72881	Fairfield	CT
4254-W73922	Ada	ID
4255-W73933	Ada	ID
4266-W69553	Twin Falls	ID
4270-T92998	Pierce	WA
4279-T93067	Pierce	WA
4281-T93077	Pierce	WA
4289-T93112	Pierce	WA
4290-T93113	Pierce	WA
4291-T93114	Pierce	WA
4292-T93115	Pierce	WA
4296-T93131	Pierce	WA
4300-W70781	Deschutes	OR
4303-T93156	Pierce	WA
4307-W71430	Ada	ID
4308-W71467	Ada	ID
4315-T90617	King	WA
4316-T90349	King	WA
4317-S22932	King	WA
4318-T87888	San Juan	WA
4324-M85971	King	WA
4325-T85880	King	WA
4326-T90370	King	WA
4329-X81187	Pierce	WA
4330-T89177	King	WA
4331-M86056	Pierce	WA
4335-M85511	King	WA
4337-M85939	King	WA
4338-M85941	King	WA
4340-M85979	King	WA
4341-T86862	Fairfield	CT
4343-T86956	Fairfield	CT
4344-T86991	Fairfield	CT
4345-T87029	Fairfield	CT
4346-T87052	Fairfield	CT
4347-T87078	Fairfield	CT
4348-T87129	Fairfield	CT
4354-T87379	Ada	ID
4355-T87398	Ada	ID
4357-T87416	Ada	ID
4366-T88157	Fairfield	CT
4370-T88217	King	WA
4372-T88241	Fairfield	CT
4375-T88308	Ada	ID
4376-T88352	Ada	ID
4380-T88725	Ada	ID
4383-T88874	Twin Falls	ID
4388-T89140	Deschutes	OR
4396-T89252	Twin Falls	ID
4400-T89291	Ada	ID
4402-T89419	Ada	ID
4404-M86092	Pierce	WA
4406-T89578	King	WA
4407-T90457	King	WA
4409-T89625	Deschutes	OR
4410-T89672	Deschutes	OR
4413-T89822	King	WA
4414-T89846	King	WA
4417-T89996	Ada	ID
4418-T90043	Ada	ID
4424-T90459	Ada	ID
4427-T90625	Ada	ID
4433-T90805	Ada	ID
4434-S53892	King	WA
4448-T91225	Ada	ID
4461-T91486	Ada	ID
4462-T91496	Ada	ID
4486-T92132	Ada	ID
4499-T90317	King	WA
4500-T90510	King	WA
4538-X79831	King	WA
4541-X78049	Pierce	WA
4543-X78827	Pierce	WA
4545-X79544	King	WA
4546-T90923	Pierce	WA
4547-T91415	Ada	ID
4549-T91160	Skagit	WA
4550-T91006	Ada	ID
4552-T91080	Ada	ID
4555-T90928	Skagit	WA
4562-T85427	Skagit	WA
4563-M84999	Snohomish	WA
4564-T85435	Skagit	WA
4565-M82407	Snohomish	WA
4568-X81153	King	WA
4569-T92728	Snohomish	WA
4570-T86290	King	WA
4572-T86839	King	WA
4578-T92899	King	WA
4579-T91084	King	WA
4580-T90357	King	WA
4581-T92711	Snohomish	WA
4582-T92425	King	WA
4583-W68410	King	WA
4585-T91448	King	WA
4588-T90451	King	WA
4589-W68497	King	WA
4591-T90950	King	WA
4592-T92364	King	WA
4593-T91658	King	WA
4594-T91625	King	WA
4595-T92163	Ada	ID
4597-T91384	Ada	ID
4598-T91365	Ada	ID
4599-X81131	King	WA
4600-T91055	Ada	ID
4601-T91468	Ada	ID
4602-T91838	King	WA
4603-T91777	King	WA
4608-H81601	Island	WA
4609-H81711	Island	WA
4611-H82405	King	WA
4612-H82431	King	WA
4614-H76465	King	WA
4615-H79208	King	WA
4616-H79685	King	WA
4617-H81659	King	WA
4618-X77937	King	WA
4619-X76739	King	WA
4620-X77561	King	WA
4623-X77331	King	WA
4627-X78472	King	WA
4630-X79782	Skagit	WA
4632-X79126	King	WA
4633-X79558	King	WA
4640-X79847	King	WA
4643-M90823	King	WA
4646-M89088	King	WA
4649-M92879	King	WA
4657-M92080	King	WA
4659-M92830	King	WA
4660-M92682	King	WA
4663-M92760	King	WA
4664-M93420	King	WA
4676-M87960	Pierce	WA
4677-M87886	Pierce	WA
4678-M87933	King	WA
4682-M89348	King	WA
4684-M89275	King	WA
4688-F17184	King	WA
4690-M90283	King	WA
4698-M90228	King	WA
4703-M78246	King	WA
4705-M93707	King	WA
4707-M93644	King	WA
4725-M94856	King	WA
4726-T11096	King	WA
4727-T11187	King	WA
4730-M94271	Snohomish	WA
4732-X80208	Spokane	WA
4734-S22197	King	WA
4740-F10442	King	WA
4741-W64843	King	WA
4744-F12081	King	WA
4746-F10435	King	WA
4747-S20773	King	WA
4748-S23126	King	WA
4749-S22838	King	WA
4752-S23666	King	WA
4754-S24158	Snohomish	WA
4755-S24179	Snohomish	WA
4757-S23404	King	WA
4758-S23660	King	WA
4759-S23768	King	WA
4760-S23839	King	WA
4763-F13129	Pierce	WA
4765-S21227	King	WA
4766-S22505	King	WA
4769-F13038	Pierce	WA
4770-F12980	Pierce	WA
4776-F13160	Spokane	WA
4777-F12987	Pierce	WA
4779-X77961	King	WA
4892-T17290	King	WA
4897-W79434	King	WA
4917-T18162	King	WA
4921-T19623	King	WA
4931-W77727	King	WA
4999-T17160	Spokane	WA
5011-T19903	Pierce	WA
5016-T15781	King	WA
5025-T18479	King	WA
5026-T17857	King	WA
5034-W83849	no container ID	no container ID
5036-W80340	Fairfield	CT
5038-W81523	Fairfield	CT
5043-W81521	Fairfield	CT
506-W45770	King	WA
5065-W82601	King	WA
5073-W80664	Fairfield	CT
5086-W80615	Fairfield	CT
5095-W77468	King	WA
5104-T15524	Fairfield	CT
5136-W75983	Spokane	WA
5144-H92466	King	WA
5152-H92483	King	WA
5158-H91238	King	WA
5161-H91221	King	WA
5164-H91130	King	WA
5166-H91189	King	WA
5169-H91387	King	WA
5170-H91083	King	WA
5172-H89657	King	WA
5177-H85006	Pierce	WA
5178-H84987	King	WA
5181-H87641	King	WA
5182-H90262	King	WA
5184-H83652	King	WA
5189-W76497	Pierce	WA
5190-W76490	Pierce	WA
5192-H87720	King	WA
5194-H86776	King	WA
5201-W73713	King	WA
5203-H90396	King	WA
5205-H90297	King	WA
5231-H11785	no container ID	no container ID
524-H62246	King	WA
5251-H12723	no container ID	no container ID
5255-W84660	no container ID	no container ID
5358-X82516	King	WA
5359-X82961	King	WA
5361-X84169	King	WA
5364-X83618	King	WA
5369-X83477	King	WA
5371-X84227	King	WA
5382-X82996	King	WA
5388-X83973	King	WA
5397-X85236	Snohomish	WA
5400-X84279	Pierce	WA
5403-H81645	King	WA
5428-H82244	Snohomish	WA
5429-H76473	King	WA
5455-W64062	King	WA
5595-W81212	Fairfield	CT
5596-W81011	Fairfield	CT
5599-W81156	Fairfield	CT
5606-W80777	King	WA
5617-W83916	King	WA
5620-W83805	no container ID	no container ID
5622-W84731	no container ID	no container ID
5629-W83850	King	WA
5670-H18089	King	WA
5687-H17106	no container ID	no container ID
5714-M92017	Snohomish	WA
5717-T11249	Snohomish	WA
5731-T11555	Grays Harbor	WA
5732-T11396	King	WA
5737-T11243	King	WA
5738-T12085	Pierce	WA
5746-T13293	King	WA
5747-T13692	King	WA
5749-T15241	Fairfield	CT
5750-M10124	Pierce	WA
5754-T15344	Fairfield	CT
5756-T13406	King	WA
5763-T15444	Fairfield	CT
5764-T14956	Fairfield	CT
5765-T15163	Fairfield	CT
5770-T15423	Fairfield	CT
5772-T14740	Fairfield	CT
5773-T14602	Fairfield	CT
5775-T14138	Fairfield	CT
5776-T14628	King	WA
5780-M10177	Pierce	WA
5781-M10168	Pierce	WA
5812-T88040	King	WA
5847-T88421	King	WA
5860-T90452	King	WA
5879-T20001	Pierce	WA
5884-T19989	Pierce	WA
5888-T18554	Twin Falls	ID
5911-T15996	Chelan	WA
5932-T17068	King	WA
5947-T19218	Skagit	WA
6162-W71077	King	WA
6164-W75256	King	WA
6170-W75912	King	WA
6178-W73912	King	WA
6179-W70896	King	WA
6181-W74380	King	WA
6183-W75595	King	WA
6184-W75432	King	WA
6185-W75027	King	WA
6186-W75531	King	WA
6187-W75054	King	WA
6190-W73756	King	WA
6204-W74317	Snohomish	WA
6211-W76536	Pierce	WA
6213-W73545	Snohomish	WA
6219-W76605	Pierce	WA
6222-H88115	Ada	ID
6238-W76699	King	WA
6240-W76322	King	WA
6241-W76334	King	WA
6242-H87868	King	WA
6243-H88791	King	WA
6244-H87897	King	WA
6245-H89103	Fairfield	CT
6251-H89794	Fairfield	CT
6259-H90039	Fairfield	CT
6270-H89460	Fairfield	CT
6271-H89383	Fairfield	CT
6273-H89296	Fairfield	CT
6274-H89423	Fairfield	CT
6288-H89625	Fairfield	CT
6302-H90797	Skagit	WA
6314-H90709	Fairfield	CT
6315-H91720	King	WA
6321-H89914	King	WA
6327-H91490	Snohomish	WA
6331-W76729	Snohomish	WA
6335-H92829	Pierce	WA
6339-H92732	Pierce	WA
6343-H92865	Pierce	WA
6348-F18169	Ada	ID
6349-F17926	Ada	ID
6350-F17880	Ada	ID
6351-H92719	Pierce	WA
6353-H92714	Pierce	WA
6356-F15620	King	WA
6361-F18317	Fairfield	CT
6362-F18085	Fairfield	CT
6365-F17786	Ada	ID
6367-F19093	Ada	ID
6369-F18838	Fairfield	CT
6377-F18089	Ada	ID
6379-F18486	Fairfield	CT
6380-F17628	Fairfield	CT
6383-F19607	Ada	ID
6385-F18337	Fairfield	CT
6389-F19503	King	WA
6399-F19382	King	WA
6400-F21440	King	WA
6403-F21329	Snohomish	WA
6404-F21363	King	WA
6406-F21437	King	WA
6408-F21353	King	WA
6410-F21315	King	WA
6413-F21394	King	WA
6417-F18055	King	WA
6424-F20253	Snohomish	WA
6438-F21380	Snohomish	WA
6439-F18736	King	WA
6441-F18720	King	WA
6442-F21375	Snohomish	WA
6446-F20163	Ada	ID
6448-F20215	Ada	ID
6453-S27551	Ada	ID
6454-S27669	Ada	ID
6455-S27570	Twin Falls	ID
6457-S28374	Twin Falls	ID
6461-S28854	Ada	ID
6463-S28064	Ada	ID
6464-S28336	Ada	ID
6466-S29433	Twin Falls	ID
6467-S29442	Twin Falls	ID
6468-S28997	Ada	ID
6469-S28855	Ada	ID
6470-S28162	Twin Falls	ID
6472-S28476	Ada	ID
6473-S29341	Twin Falls	ID
6478-X83256	King	WA
6480-F22226	Pierce	WA
6481-F22291	Pierce	WA
6483-S30863	Snohomish	WA
6484-X84689	Skagit	WA
6485-X84628	Skagit	WA
6486-X83589	Kitsap	WA
6496-F22301	Pierce	WA
6497-F22248	Pierce	WA
650-F78537	Fairfield	CT
6501-F22249	Pierce	WA
6502-F22261	Pierce	WA
6504-X83603	King	WA
6507-S30866	Snohomish	WA
6511-S30727	Pierce	WA
6514-S30721	Pierce	WA
6516-S30853	Pierce	WA
6520-S30803	Pierce	WA
6525-S30820	Pierce	WA
6526-X84203	Chelan	WA
6527-X84299	Chelan	WA
6528-X83882	Chelan	WA
6535-S30782	Pierce	WA
6543-S30768	Pierce	WA
6546-S30833	Pierce	WA
6547-S30754	Pierce	WA
6548-S30825	Pierce	WA
6550-F22521	Spokane	WA
6559-X85636	Pierce	WA
6560-X85632	Pierce	WA
6562-X85660	Pierce	WA
6563-M90219	Fairfield	CT
6564-M90968	Fairfield	CT
6565-M89954	Fairfield	CT
6566-M91079	Fairfield	CT
6568-M90825	Fairfield	CT
6569-M90660	Fairfield	CT
6571-M91189	Fairfield	CT
6572-M90777	Fairfield	CT
6573-M90131	Fairfield	CT
6574-M89802	Fairfield	CT
6576-M90128	Fairfield	CT
6577-M89995	Fairfield	CT
6582-M90016	Fairfield	CT
6585-X85709	Pierce	WA
6586-M90054	Fairfield	CT
6587-M89818	Fairfield	CT
6589-X85666	Pierce	WA
6590-M89701	Fairfield	CT
6591-X85697	Pierce	WA
6592-M89869	Fairfield	CT
6594-M90178	Fairfield	CT
6596-M89433	Pierce	WA
6601-X85698	Pierce	WA
6603-M89747	Fairfield	CT
6605-X85701	Pierce	WA
6615-H17425	Snohomish	WA
6663-S35237	King	WA
6671-S35278	Snohomish	WA
6684-S33698	Fairfield	CT
6688-S36528	King	WA
6691-S33886	Fairfield	CT
6692-S34136	Fairfield	CT
6698-S36523	King	WA
6701-S33695	King	WA
6706-S36543	King	WA
6709-S33796	Fairfield	CT
6716-S36507	King	WA
6718-S35052	King	WA
6722-S31941	King	WA
6750-F31221	King	WA
6758-F26928	Fairfield	CT
6762-F25323	King	WA
6765-F29911	King	WA
6767-F29717	King	WA
6780-F27494	Fairfield	CT
6790-F27854	Fairfield	CT
6806-F27375	King	WA
6807-F27569	Fairfield	CT
6817-F27171	King	WA
6818-F28855	King	WA
6820-F29886	King	WA
6822-F29150	King	WA
6971-M84036	King	WA
6976-M85626	Skagit	WA
6980-M85614	Pierce	WA
6985-M85629	Skagit	WA
6990-M83003	King	WA
7006-M94105	King	WA
7007-M94108	King	WA
7011-M92575	King	WA
7012-M93059	King	WA
7013-M94280	King	WA
7016-M94410	King	WA
7022-M94136	King	WA
7040-M94341	Snohomish	WA
7070-M10274	Fairfield	CT
7093-X90165	Snohomish	WA
7106-X87640	King	WA
7115-X88714	King	WA
7128-S36710	Pierce	WA
7142-X87759	King	WA
7158-S36216	King	WA
7160-X87788	King	WA
7164-S36778	Pierce	WA
7166-M12960	King	WA
7167-M15139	no container ID	no container ID
7178-W79924	King	WA
7187-M17243	no container ID	no container ID
7188-M17359	King	WA
7196-M17335	no container ID	no container ID
7204-M17680	no container ID	no container ID
7214-M17849	no container ID	no container ID
7220-M18405	no container ID	no container ID
7227-M16900	no container ID	no container ID
7228-M17266	no container ID	no container ID
7230-M17390	no container ID	no container ID
7231-M18440	no container ID	no container ID
7235-X90429	King	WA
7236-F30946	King	WA
7237-M16846	King	WA
7242-T15053	King	WA
7257-T15181	Fairfield	CT
7260-T15308	Fairfield	CT
7265-T15445	Fairfield	CT
7266-T15454	Fairfield	CT
7270-T15558	Fairfield	CT
7281-T16232	Fairfield	CT
7283-T16321	Ada	ID
7285-T16412	Fairfield	CT
7290-T16756	Fairfield	CT
7291-T16938	Ada	ID
7306-T17495	Twin Falls	ID
7308-T18532	Ada	ID
7399-T21388	King	WA
7417-T23255	no container ID	no container ID
7424-T24252	no container ID	no container ID
7428-T27848	no container ID	no container ID
7434-T25369	no container ID	no container ID
7435-T25663	no container ID	no container ID
7449-T28188	no container ID	no container ID
7455-W87675	no container ID	no container ID
7473-T26669	no container ID	no container ID
7670-S40755	King	WA
7675-S39888	King	WA
7677-S40549	King	WA
7745-M20657	King	WA
7756-M21604	no container ID	no container ID
7763-X14266	King	WA
7764-X14270	King	WA
7770-M23604	no container ID	no container ID
7776-M26145	King	WA
7777-M26345	King	WA
7781-M26557	no container ID	no container ID
7794-M27332	no container ID	no container ID
7882-T32447	King	WA
8008-H33061	King	WA
8012-H30233	King	WA
8046-F45160	King	WA
8065-F46422	King	WA
808-S93838	King	WA
811-X68302	King	WA
8146-S45383	King	WA
8150-S45944	King	WA
8158-S46276	King	WA
8165-S46914	King	WA
8317-M34217	King	WA
8330-M36072	King	WA
8370-T51858	Pierce	WA
8418-F61468	King	WA
8421-F51456	King	WA
8422-F60381	King	WA
8423-F60087	King	WA
8431-F51461	King	WA
8437-H49178	Pierce	WA
8510-M45753	King	WA
8511-M44778	King	WA
8518-M48634	King	WA
8526-M50136	King	WA
8527-M49678	King	WA
8550-T56257	King	WA
8636-W35030	King	WA
8638-W37133	King	WA
8686-W36234	King	WA
8694-W37510	King	WA
8698-W36809	King	WA
8800-T61603	King	WA
8803-H59185	King	WA
8813-H52350	King	WA
8824-F64586	King	WA
8831-H57717	King	WA
8845-F72695	King	WA
8851-F73487	King	WA
8860-S60393	King	WA
8872-S62450	Pierce	WA
8873-S60206	King	WA
8876-S62974	King	WA
9014-T70691	King	WA
9016-T69186	King	WA
9018-T66695	King	WA
9032-X30708	King	WA
9054-M59630	King	WA
9068-M58360	King	WA
9069-M60238	King	WA
9190-S65580	Yakima	WA
9195-F80026	Okanogan	WA
9210-H65217	King	WA
9214-H72318	King	WA
9227-H73708	Pierce	WA
9228-H73710	Pierce	WA
9229-H73769	King	WA
9230-H73657	King	WA
9233-F78325	King	WA
9235-H65151	King	WA
9244-F84816	King	WA
9266-F85521	King	WA
9299-H65890	King	WA
9301-F86264	King	WA
9308-F80435	King	WA
9333-H73862	King	WA
9338-H73832	King	WA
9339-H73863	King	WA
9346-S68175	Deschutes	OR
9352-S66533	King	WA
9361-F87016	Pierce	WA
9362-F86926	Pierce	WA
9390-S70475	Pierce	WA
9407-X36266	King	WA
9422-M68120	King	WA
9439-M74658	King	WA
9500-M75983	King	WA
9504-M74532	Chelan	WA
9520-M77128	Pierce	WA
9532-T85758	Chelan	WA
9533-T85761	Chelan	WA
9551-T88771	Pierce	WA
9553-W57223	Yakima	WA
9568-W61763	King	WA
9569-W58458	King	WA
9578-W65570	King	WA
9579-H67417	King	WA
9580-W63408	King	WA
9600-F90274	King	WA
966-X68766	Snohomish	WA
970-S11921	Fairfield	CT
9755-M81935	Chelan	WA
9798-X43765	Pierce	WA
9819-T16757	King	WA
